feature,gain_importance,split_importance
dist_from_center,7258.698438167572,741
snap_distance_m,7226.985194325447,844
junction_te,6942.5064816474915,644
longitude,6619.727905392647,667
centrality_score,6111.867264986038,796
corridor,5520.79368853569,275
latitude,5447.980524003506,609
hour_of_day,4690.70372992754,438
zone_te,4269.787311136723,480
event_cause,3928.0519568920135,191
veh_type,2928.9114446640015,203
day_of_week,2582.68690431118,285
month,1483.561349272728,176
is_planned,62.767187774181366,21
low_confidence_snap,0.0,0
